Subject,Scenario,Channel,Band,Best K,Accuracy
1,Single Channel & Band,F3,Delta,9,0.5138888888888888
1,Single Channel & Band,F3,Theta,4,0.5833333333333334
1,Single Channel & Band,F3,Alpha,9,0.6527777777777778
1,Single Channel & Band,F3,Beta,3,0.5694444444444444
1,Single Channel & Band,F3,Gamma,10,0.6111111111111112
1,Single Channel & Band,F4,Delta,10,0.625
1,Single Channel & Band,F4,Theta,5,0.6666666666666666
1,Single Channel & Band,F4,Alpha,1,0.6388888888888888
1,Single Channel & Band,F4,Beta,2,0.5416666666666666
1,Single Channel & Band,F4,Gamma,4,0.5833333333333334
1,Single Channel & Band,Fz,Delta,9,0.6388888888888888
1,Single Channel & Band,Fz,Theta,7,0.5972222222222222
1,Single Channel & Band,Fz,Alpha,1,0.5833333333333334
1,Single Channel & Band,Fz,Beta,3,0.5972222222222222
1,Single Channel & Band,Fz,Gamma,1,0.4861111111111111
1,Single Channel & Band,C3,Delta,1,0.6805555555555556
1,Single Channel & Band,C3,Theta,5,0.3055555555555556
1,Single Channel & Band,C3,Alpha,7,0.8611111111111112
1,Single Channel & Band,C3,Beta,2,0.5277777777777778
1,Single Channel & Band,C3,Gamma,1,0.5138888888888888
1,Single Channel & Band,C4,Delta,3,0.7222222222222222
1,Single Channel & Band,C4,Theta,1,0.5
1,Single Channel & Band,C4,Alpha,9,0.8472222222222222
1,Single Channel & Band,C4,Beta,6,0.4583333333333333
1,Single Channel & Band,C4,Gamma,5,0.5
1,Single Channel & Band,Cz,Delta,5,0.6527777777777778
1,Single Channel & Band,Cz,Theta,7,0.6944444444444444
1,Single Channel & Band,Cz,Alpha,5,0.7083333333333334
1,Single Channel & Band,Cz,Beta,2,0.5416666666666666
1,Single Channel & Band,Cz,Gamma,2,0.5833333333333334
1,Single Channel & Band,Pz,Delta,10,0.5694444444444444
1,Single Channel & Band,Pz,Theta,3,0.4583333333333333
1,Single Channel & Band,Pz,Alpha,5,0.5416666666666666
1,Single Channel & Band,Pz,Beta,4,0.5416666666666666
1,Single Channel & Band,Pz,Gamma,4,0.5555555555555556
1,"Single Channel, All Bands",F3,All,3,0.5833333333333334
1,"Single Channel, All Bands",F4,All,9,0.6111111111111112
1,"Single Channel, All Bands",Fz,All,1,0.8055555555555556
1,"Single Channel, All Bands",C3,All,1,0.75
1,"Single Channel, All Bands",C4,All,1,0.7916666666666666
1,"Single Channel, All Bands",Cz,All,7,0.7083333333333334
1,"Single Channel, All Bands",Pz,All,3,0.8888888888888888
1,"Single Band, All Channels",All,Delta,1,0.6111111111111112
1,"Single Band, All Channels",All,Theta,9,0.6666666666666666
1,"Single Band, All Channels",All,Alpha,7,0.7916666666666666
1,"Single Band, All Channels",All,Beta,5,0.7361111111111112
1,"Single Band, All Channels",All,Gamma,10,0.5694444444444444
1,All Channels & All Bands,All,All,7,0.6805555555555556
2,Single Channel & Band,F3,Delta,1,0.4861111111111111
2,Single Channel & Band,F3,Theta,8,0.4166666666666667
2,Single Channel & Band,F3,Alpha,9,0.7638888888888888
2,Single Channel & Band,F3,Beta,1,0.5277777777777778
2,Single Channel & Band,F3,Gamma,3,0.6388888888888888
2,Single Channel & Band,F4,Delta,1,0.4305555555555556
2,Single Channel & Band,F4,Theta,10,0.5277777777777778
2,Single Channel & Band,F4,Alpha,10,0.75
2,Single Channel & Band,F4,Beta,1,0.5833333333333334
2,Single Channel & Band,F4,Gamma,5,0.5555555555555556
2,Single Channel & Band,Fz,Delta,6,0.4861111111111111
2,Single Channel & Band,Fz,Theta,2,0.5833333333333334
2,Single Channel & Band,Fz,Alpha,4,0.7361111111111112
2,Single Channel & Band,Fz,Beta,4,0.4583333333333333
2,Single Channel & Band,Fz,Gamma,1,0.5833333333333334
2,Single Channel & Band,C3,Delta,4,0.5138888888888888
2,Single Channel & Band,C3,Theta,4,0.5
2,Single Channel & Band,C3,Alpha,7,0.75
2,Single Channel & Band,C3,Beta,1,0.5694444444444444
2,Single Channel & Band,C3,Gamma,6,0.6666666666666666
2,Single Channel & Band,C4,Delta,9,0.7916666666666666
2,Single Channel & Band,C4,Theta,6,0.625
2,Single Channel & Band,C4,Alpha,10,0.8888888888888888
2,Single Channel & Band,C4,Beta,9,0.5138888888888888
2,Single Channel & Band,C4,Gamma,9,0.625
2,Single Channel & Band,Cz,Delta,4,0.4722222222222222
2,Single Channel & Band,Cz,Theta,1,0.4444444444444444
2,Single Channel & Band,Cz,Alpha,5,0.8611111111111112
2,Single Channel & Band,Cz,Beta,3,0.5972222222222222
2,Single Channel & Band,Cz,Gamma,7,0.5138888888888888
2,Single Channel & Band,Pz,Delta,6,0.4583333333333333
2,Single Channel & Band,Pz,Theta,9,0.5972222222222222
2,Single Channel & Band,Pz,Alpha,3,0.9722222222222222
2,Single Channel & Band,Pz,Beta,1,0.5694444444444444
2,Single Channel & Band,Pz,Gamma,1,0.6111111111111112
2,"Single Channel, All Bands",F3,All,1,0.6527777777777778
2,"Single Channel, All Bands",F4,All,1,0.7222222222222222
2,"Single Channel, All Bands",Fz,All,1,0.5694444444444444
2,"Single Channel, All Bands",C3,All,1,0.6805555555555556
2,"Single Channel, All Bands",C4,All,9,0.8611111111111112
2,"Single Channel, All Bands",Cz,All,1,0.5416666666666666
2,"Single Channel, All Bands",Pz,All,1,0.9305555555555556
2,"Single Band, All Channels",All,Delta,2,0.4722222222222222
2,"Single Band, All Channels",All,Theta,3,0.7083333333333334
2,"Single Band, All Channels",All,Alpha,7,0.9722222222222222
2,"Single Band, All Channels",All,Beta,1,0.8333333333333334
2,"Single Band, All Channels",All,Gamma,7,0.8333333333333334
2,All Channels & All Bands,All,All,1,0.5
3,Single Channel & Band,F3,Delta,8,0.8333333333333334
3,Single Channel & Band,F3,Theta,6,0.8333333333333334
3,Single Channel & Band,F3,Alpha,2,0.5694444444444444
3,Single Channel & Band,F3,Beta,5,0.5972222222222222
3,Single Channel & Band,F3,Gamma,8,0.5138888888888888
3,Single Channel & Band,F4,Delta,8,0.7777777777777778
3,Single Channel & Band,F4,Theta,1,0.5277777777777778
3,Single Channel & Band,F4,Alpha,2,0.3888888888888889
3,Single Channel & Band,F4,Beta,2,0.375
3,Single Channel & Band,F4,Gamma,8,0.6805555555555556
3,Single Channel & Band,Fz,Delta,2,0.7361111111111112
3,Single Channel & Band,Fz,Theta,4,0.875
3,Single Channel & Band,Fz,Alpha,1,0.5833333333333334
3,Single Channel & Band,Fz,Beta,9,0.5
3,Single Channel & Band,Fz,Gamma,7,0.5416666666666666
3,Single Channel & Band,C3,Delta,10,0.8888888888888888
3,Single Channel & Band,C3,Theta,2,0.9583333333333334
3,Single Channel & Band,C3,Alpha,5,0.5694444444444444
3,Single Channel & Band,C3,Beta,2,0.5277777777777778
3,Single Channel & Band,C3,Gamma,4,0.5694444444444444
3,Single Channel & Band,C4,Delta,4,0.8611111111111112
3,Single Channel & Band,C4,Theta,4,0.9444444444444444
3,Single Channel & Band,C4,Alpha,6,0.3888888888888889
3,Single Channel & Band,C4,Beta,3,0.6666666666666666
3,Single Channel & Band,C4,Gamma,2,0.6944444444444444
3,Single Channel & Band,Cz,Delta,9,0.6527777777777778
3,Single Channel & Band,Cz,Theta,1,0.4861111111111111
3,Single Channel & Band,Cz,Alpha,8,0.5972222222222222
3,Single Channel & Band,Cz,Beta,2,0.5138888888888888
3,Single Channel & Band,Cz,Gamma,5,0.5694444444444444
3,Single Channel & Band,Pz,Delta,9,0.8055555555555556
3,Single Channel & Band,Pz,Theta,8,0.9027777777777778
3,Single Channel & Band,Pz,Alpha,6,0.6944444444444444
3,Single Channel & Band,Pz,Beta,8,0.5972222222222222
3,Single Channel & Band,Pz,Gamma,3,0.6111111111111112
3,"Single Channel, All Bands",F3,All,2,0.9027777777777778
3,"Single Channel, All Bands",F4,All,5,0.7777777777777778
3,"Single Channel, All Bands",Fz,All,3,0.9583333333333334
3,"Single Channel, All Bands",C3,All,4,1.0
3,"Single Channel, All Bands",C4,All,5,0.9305555555555556
3,"Single Channel, All Bands",Cz,All,1,0.7083333333333334
3,"Single Channel, All Bands",Pz,All,7,0.9583333333333334
3,"Single Band, All Channels",All,Delta,4,0.9166666666666666
3,"Single Band, All Channels",All,Theta,6,0.9444444444444444
3,"Single Band, All Channels",All,Alpha,3,0.8611111111111112
3,"Single Band, All Channels",All,Beta,8,0.5277777777777778
3,"Single Band, All Channels",All,Gamma,4,0.4861111111111111
3,All Channels & All Bands,All,All,7,0.9027777777777778
4,Single Channel & Band,F3,Delta,3,0.6307692307692307
4,Single Channel & Band,F3,Theta,1,0.5384615384615384
4,Single Channel & Band,F3,Alpha,7,0.8153846153846154
4,Single Channel & Band,F3,Beta,5,0.6
4,Single Channel & Band,F3,Gamma,2,0.5384615384615384
4,Single Channel & Band,F4,Delta,5,0.676923076923077
4,Single Channel & Band,F4,Theta,3,0.8461538461538461
4,Single Channel & Band,F4,Alpha,5,0.9076923076923077
4,Single Channel & Band,F4,Beta,10,0.7692307692307693
4,Single Channel & Band,F4,Gamma,6,0.6153846153846154
4,Single Channel & Band,Fz,Delta,8,0.5384615384615384
4,Single Channel & Band,Fz,Theta,9,0.6
4,Single Channel & Band,Fz,Alpha,3,0.6923076923076923
4,Single Channel & Band,Fz,Beta,7,0.6615384615384615
4,Single Channel & Band,Fz,Gamma,9,0.6615384615384615
4,Single Channel & Band,C3,Delta,9,0.6461538461538462
4,Single Channel & Band,C3,Theta,5,0.6153846153846154
4,Single Channel & Band,C3,Alpha,10,0.5846153846153846
4,Single Channel & Band,C3,Beta,3,0.49230769230769234
4,Single Channel & Band,C3,Gamma,6,0.5076923076923077
4,Single Channel & Band,C4,Delta,2,0.7846153846153846
4,Single Channel & Band,C4,Theta,2,0.5384615384615384
4,Single Channel & Band,C4,Alpha,1,0.6
4,Single Channel & Band,C4,Beta,8,0.5538461538461539
4,Single Channel & Band,C4,Gamma,2,0.5384615384615384
4,Single Channel & Band,Cz,Delta,2,0.5846153846153846
4,Single Channel & Band,Cz,Theta,6,0.5692307692307692
4,Single Channel & Band,Cz,Alpha,1,0.5692307692307692
4,Single Channel & Band,Cz,Beta,3,0.5692307692307692
4,Single Channel & Band,Cz,Gamma,4,0.5846153846153846
4,Single Channel & Band,Pz,Delta,4,0.7230769230769231
4,Single Channel & Band,Pz,Theta,2,0.6615384615384615
4,Single Channel & Band,Pz,Alpha,9,0.6307692307692307
4,Single Channel & Band,Pz,Beta,3,0.46153846153846156
4,Single Channel & Band,Pz,Gamma,8,0.5076923076923077
4,"Single Channel, All Bands",F3,All,3,0.6923076923076923
4,"Single Channel, All Bands",F4,All,3,0.8461538461538461
4,"Single Channel, All Bands",Fz,All,6,0.6
4,"Single Channel, All Bands",C3,All,5,0.6461538461538462
4,"Single Channel, All Bands",C4,All,9,0.8461538461538461
4,"Single Channel, All Bands",Cz,All,2,0.5230769230769231
4,"Single Channel, All Bands",Pz,All,1,0.7230769230769231
4,"Single Band, All Channels",All,Delta,7,0.7384615384615385
4,"Single Band, All Channels",All,Theta,1,0.6461538461538462
4,"Single Band, All Channels",All,Alpha,3,0.6153846153846154
4,"Single Band, All Channels",All,Beta,2,0.5384615384615384
4,"Single Band, All Channels",All,Gamma,1,0.5692307692307692
4,All Channels & All Bands,All,All,7,0.7076923076923077
5,Single Channel & Band,F3,Delta,8,0.5833333333333334
5,Single Channel & Band,F3,Theta,9,0.5138888888888888
5,Single Channel & Band,F3,Alpha,2,0.4444444444444444
5,Single Channel & Band,F3,Beta,1,0.4583333333333333
5,Single Channel & Band,F3,Gamma,3,0.5138888888888888
5,Single Channel & Band,F4,Delta,3,0.5833333333333334
5,Single Channel & Band,F4,Theta,7,0.6805555555555556
5,Single Channel & Band,F4,Alpha,9,0.4861111111111111
5,Single Channel & Band,F4,Beta,2,0.375
5,Single Channel & Band,F4,Gamma,2,0.3888888888888889
5,Single Channel & Band,Fz,Delta,8,0.6111111111111112
5,Single Channel & Band,Fz,Theta,1,0.5833333333333334
5,Single Channel & Band,Fz,Alpha,1,0.4444444444444444
5,Single Channel & Band,Fz,Beta,3,0.5972222222222222
5,Single Channel & Band,Fz,Gamma,1,0.6944444444444444
5,Single Channel & Band,C3,Delta,1,0.5833333333333334
5,Single Channel & Band,C3,Theta,2,0.5138888888888888
5,Single Channel & Band,C3,Alpha,6,0.5972222222222222
5,Single Channel & Band,C3,Beta,5,0.5416666666666666
5,Single Channel & Band,C3,Gamma,6,0.6527777777777778
5,Single Channel & Band,C4,Delta,5,0.8055555555555556
5,Single Channel & Band,C4,Theta,2,0.5555555555555556
5,Single Channel & Band,C4,Alpha,4,0.5555555555555556
5,Single Channel & Band,C4,Beta,2,0.5138888888888888
5,Single Channel & Band,C4,Gamma,3,0.7361111111111112
5,Single Channel & Band,Cz,Delta,7,0.6111111111111112
5,Single Channel & Band,Cz,Theta,8,0.4722222222222222
5,Single Channel & Band,Cz,Alpha,7,0.5138888888888888
5,Single Channel & Band,Cz,Beta,1,0.5555555555555556
5,Single Channel & Band,Cz,Gamma,9,0.8055555555555556
5,Single Channel & Band,Pz,Delta,2,0.6527777777777778
5,Single Channel & Band,Pz,Theta,1,0.5416666666666666
5,Single Channel & Band,Pz,Alpha,10,0.6111111111111112
5,Single Channel & Band,Pz,Beta,3,0.5972222222222222
5,Single Channel & Band,Pz,Gamma,2,0.4444444444444444
5,"Single Channel, All Bands",F3,All,7,0.5833333333333334
5,"Single Channel, All Bands",F4,All,10,0.5277777777777778
5,"Single Channel, All Bands",Fz,All,10,0.6527777777777778
5,"Single Channel, All Bands",C3,All,1,0.7222222222222222
5,"Single Channel, All Bands",C4,All,8,0.8888888888888888
5,"Single Channel, All Bands",Cz,All,5,0.6111111111111112
5,"Single Channel, All Bands",Pz,All,4,0.7361111111111112
5,"Single Band, All Channels",All,Delta,2,0.7638888888888888
5,"Single Band, All Channels",All,Theta,1,0.6527777777777778
5,"Single Band, All Channels",All,Alpha,5,0.5555555555555556
5,"Single Band, All Channels",All,Beta,2,0.6527777777777778
5,"Single Band, All Channels",All,Gamma,2,0.6944444444444444
5,All Channels & All Bands,All,All,2,0.7638888888888888
